State,District,Number of operational holdings,Average size of operational holding (Ha),No. of cultivators using diesel pumps,No. of cultivators using electric pumps,image_url
Andhra Pradesh,Anantapur,727237,1.76,6062,120098,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,Chittoor,667137,0.93,22226,293232,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,East Godavari,697878,0.73,36162,48796,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,Guntur,759889,0.92,222934,138313,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,Kadapa,441288,1.23,13917,182972,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,Krishna,551542,0.92,119387,105733,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,Kurnool,632849,1.63,11518,47411,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,Prakasam,670385,1.27,26743,138775,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,Sri Potti Sriramulu Nellore,456349,1.02,43107,122083,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,Srikakulam,525362,0.66,56792,24588,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,Visakhapatnam,474527,0.84,8988,16306,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,Vizianagaram,446734,0.76,69905,14196,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Andhra Pradesh,West Godavari,565055,0.85,47121,188776,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Anjaw,2713,3.24,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Changlang,8117,5.21,89,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Dibang Valley,1246,2.92,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,East Kameng,6700,3.3,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,East Siang,10069,3.73,15,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Kurung Kumey,5389,4.89,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Lohit,10170,2.21,140,32,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Lower Dibang Valley,2220,5.29,39,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Lower Subansiri,8440,1.65,62,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Papum Pare,6819,2.3,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Tawang,6003,0.79,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Tirap,10363,2.82,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Upper Siang,3715,5.25,108,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,Upper Subansiri,7199,8.46,52,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,West Kameng,6304,1.93,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Arunanchal Pradesh,West Siang,11061,4.67,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Baksa,89165,1.18,10024,575,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Barpeta,126998,1.29,55849,8211,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Bongaigaon,78953,0.71,11465,8717,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Cachar,99115,0.97,2118,1260,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Chirang,44847,0.67,17165,1598,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Darrang,95873,0.83,9424,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Dhemaji,90080,0.99,6828,1466,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Dhubri,128753,0.96,86990,9663,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Dibrugarh,108651,1.04,6690,1922,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Dima Hasao,17464,0.82,27,76,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Goalpara,91919,0.93,52988,2819,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Golaghat,110433,1.08,9096,1677,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Hailakandi,67373,0.85,31140,505,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Jorhat,110219,1.02,4273,902,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Kamrup,183289,0.99,48305,17427,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Assam,Kamrup Metropolitan,30060,0.99,2674,3381,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
