 State , District ,Un-irrigated net sown area as share of total net sown area,,Area under horticulture crops as a share of gross cropped area (%),,Score on water scarcity index (max-1),,Monthly per capita expenditure of rural agricultural households (INR),,Crop revenue per holding (INR),,"No of rural and semi-urban bank branches per 10,000 cultivators",,Medium and long term institutional credit disbursed in a year (in INR Crore),,"Level of farm mechanisation (tractors,harvesters, threshers per ha)",,Proportion of small and marginal cultivators,,Climate Resilient Score by CRIDA,,Summary Text
 state , District ,Leading,Lagging,Leading,Lagging,Leading,Lagging,Leading,Lagging,Leading,Lagging,Leading,Lagging,Leading,Lagging,Leading,Lagging,Leading,Lagging,Leading,Lagging,
 Andhra Pradesh , Anantapur ,,,,,,,,,,,,"It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. ","The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,,,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Andhra Pradesh , Chittoor ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,,,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,"There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Andhra Pradesh , East Godavari ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Andhra Pradesh , Guntur ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,,,,,"There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Andhra Pradesh , Kadapa ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,,,,,"There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Andhra Pradesh , Krishna ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,"For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. ",,,,,,"There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Andhra Pradesh , Kurnool ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,,,"It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. ","The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,,,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Andhra Pradesh , Prakasam ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,,,,,,"There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Andhra Pradesh , Sri Potti Sriramulu Nellore ,,"It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. ",,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,,,,,"There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
